City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Ilam,NP,2022-08-17 15:18:38,26.9167,87.9167,295.61,90,31,1.19
168,Monrovia,LR,2022-08-17 15:17:07,6.3005,-10.7969,301.02,74,100,5.92
169,Leh,IN,2022-08-17 15:18:40,34.1667,77.5833,293.72,38,47,2.82
170,Alvdal,NO,2022-08-17 15:18:41,62.1077,10.6307,282.3,91,100,3.82
171,Coutances,FR,2022-08-17 15:18:41,49.05,-1.4333,294.85,70,87,2.21
172,Bambous Virieux,MU,2022-08-17 15:18:42,-20.3428,57.7575,294.38,83,20,1.54
173,Bardiyah,LY,2022-08-17 15:18:42,31.7561,25.0865,301.61,67,0,9.0
174,Kommunisticheskiy,RU,2022-08-17 15:18:43,61.6789,64.4819,282.13,57,94,3.13
175,Sept-Iles,CA,2022-08-17 15:18:44,50.2001,-66.3821,297.44,38,75,6.69
176,Dori,BF,2022-08-17 15:18:44,14.0354,-0.0345,303.08,55,100,4.81
177,Itapaci,BR,2022-08-17 15:18:45,-14.9508,-49.5494,305.94,21,13,3.66
178,Sabaudia,IT,2022-08-17 15:18:46,41.3003,13.0282,309.37,75,2,4.83
179,Bochnia,PL,2022-08-17 15:18:47,49.9691,20.4303,305.03,66,94,2.82
180,Sambava,MG,2022-08-17 15:18:49,-14.2667,50.1667,295.28,82,3,5.39
181,Camiri,BO,2022-08-17 15:15:51,-20.05,-63.5167,302.03,26,1,2.06
182,Jibuti,DJ,2022-08-17 15:19:50,11.5,42.5,308.45,30,14,2.69
183,Paita,PE,2022-08-17 15:19:51,-5.0892,-81.1144,292.55,72,11,4.19
184,Albany,US,2022-08-17 15:14:59,42.6001,-73.9662,296.02,73,100,2.61
185,Taoudenni,ML,2022-08-17 15:19:52,22.6783,-3.9836,316.42,15,27,4.27
186,Batie,BF,2022-08-17 15:19:53,9.8833,-2.9167,301.44,60,96,2.47
187,Dingle,PH,2022-08-17 15:19:53,10.9995,122.6711,298.1,89,100,1.58
188,Barreirinha,BR,2022-08-17 15:19:54,-2.7933,-57.07,308.53,36,17,1.76
189,Dalmatovo,RU,2022-08-17 15:19:54,56.26,62.9362,288.84,44,97,4.55
190,Malanje,AO,2022-08-17 15:19:55,-9.5402,16.341,305.34,17,11,1.71
191,Itarema,BR,2022-08-17 15:19:56,-2.9248,-39.9167,305.01,42,39,7.01
192,Agustin Codazzi,CO,2022-08-17 15:19:56,10.0341,-73.2361,303.94,54,0,1.54
193,Carutapera,BR,2022-08-17 15:19:57,-1.195,-46.02,304.55,53,67,4.52
194,Coquimbo,CL,2022-08-17 15:18:26,-29.9533,-71.3436,287.0,88,75,2.57
195,Ouesso,CG,2022-08-17 15:19:58,1.6136,16.0517,297.2,83,99,1.47
196,Corralillo,CU,2022-08-17 15:20:00,22.9819,-80.5856,303.45,64,98,1.32
197,Mindelo,CV,2022-08-17 15:20:00,16.8901,-24.9804,301.9,58,75,10.8
198,Tutoia,BR,2022-08-17 15:20:01,-2.7619,-42.2744,303.87,46,46,4.0
199,Kavaratti,IN,2022-08-17 15:20:02,10.5669,72.642,300.78,78,86,4.27
200,Kanniyakumari,IN,2022-08-17 15:20:02,8.0833,77.5667,299.6,83,80,8.09
201,Cururupu,BR,2022-08-17 15:20:03,-1.8283,-44.8683,304.3,52,37,3.13
202,Chisinau,MD,2022-08-17 15:20:04,47.0056,28.8575,301.44,68,20,0.51
203,Surovikino,RU,2022-08-17 15:20:05,48.6078,42.8486,309.67,22,10,1.1
204,San Carlos De Bariloche,AR,2022-08-17 15:20:06,-41.1456,-71.3082,276.62,86,75,5.14
205,Atar,MR,2022-08-17 15:20:06,20.5169,-13.0499,313.15,18,61,2.58
206,Marienburg,PL,2022-08-17 15:20:07,54.0359,19.0266,303.08,51,90,4.2
207,Vardo,NO,2022-08-17 15:20:07,70.3705,31.1107,291.11,74,8,8.4
208,Zalesovo,RU,2022-08-17 15:20:08,53.9939,84.7431,281.24,92,89,2.23
209,Lukovetskiy,RU,2022-08-17 15:20:09,64.2956,41.9211,299.58,54,19,1.7
210,Djambala,CG,2022-08-17 15:20:10,-2.5447,14.7533,301.73,40,97,4.14
211,Libreville,GA,2022-08-17 15:20:11,0.3925,9.4537,298.16,88,75,1.54
212,Koutsouras,GR,2022-08-17 15:20:11,35.0339,25.9469,304.88,47,0,2.78
213,Rawson,AR,2022-08-17 15:18:26,-43.3002,-65.1023,280.87,44,57,10.09
214,Urumqi,CN,2022-08-17 15:20:13,43.801,87.6005,294.68,23,0,2.0
215,Humaita,BR,2022-08-17 15:20:13,-7.5061,-63.0208,308.22,39,6,1.97
216,Koboko,UG,2022-08-17 15:20:14,3.4136,30.9599,293.12,91,100,2.12
217,Mende,FR,2022-08-17 15:20:14,44.6667,3.5,290.97,78,32,2.73
218,Kutum,SD,2022-08-17 15:20:15,14.2,24.6667,304.15,34,68,5.5
219,Male,MV,2022-08-17 15:20:16,4.1748,73.5089,300.98,68,98,2.1
220,Goderich,CA,2022-08-17 15:20:16,43.7501,-81.7165,296.99,78,11,2.57
221,Kolokani,ML,2022-08-17 15:20:17,13.5728,-8.0339,300.77,64,95,1.71
222,Saint-Philippe,RE,2022-08-17 15:20:18,-21.3585,55.7679,294.92,74,31,3.05
223,Asyut,EG,2022-08-17 15:20:18,27.181,31.1837,310.04,13,0,7.53
224,Kudahuvadhoo,MV,2022-08-17 15:20:19,2.6708,72.8944,301.43,70,100,2.94
225,San Juan,AR,2022-08-17 15:20:19,-31.5375,-68.5364,284.94,53,76,5.2
226,San Andres,CO,2022-08-17 15:20:20,12.5847,-81.7006,303.16,74,20,2.57
227,Aricestii-Rahtivani,RO,2022-08-17 15:21:21,44.95,25.8333,304.41,61,76,2.0
228,Krasyliv,UA,2022-08-17 15:21:22,49.6519,26.9725,295.65,77,100,2.13
229,Maraba,BR,2022-08-17 15:21:23,-5.3686,-49.1178,309.25,30,0,5.66
230,Belyy Yar,RU,2022-08-17 15:21:24,53.6039,91.3903,286.09,62,0,2.0
231,Grand Gaube,MU,2022-08-17 15:21:24,-20.0064,57.6608,294.47,78,0,1.79
232,Izyum,UA,2022-08-17 15:21:25,49.2088,37.2485,305.53,28,9,2.88
233,Silvania,BR,2022-08-17 15:21:26,-16.6589,-48.6081,303.08,21,7,4.11
234,Subate,LV,2022-08-17 15:21:26,56.0062,25.9076,300.4,50,93,2.28
235,Hofn,IS,2022-08-17 15:21:27,64.2539,-15.2082,282.16,87,100,4.63
236,Axim,GH,2022-08-17 15:21:28,4.8699,-2.2405,300.41,57,8,3.88
237,Qeshm,IR,2022-08-17 15:21:28,26.9581,56.2719,308.09,75,42,3.71
238,Henties Bay,NA,2022-08-17 15:21:29,-22.116,14.2845,287.87,77,4,6.0
239,Chuchkovo,RU,2022-08-17 15:21:29,54.2693,41.4465,299.03,39,100,4.43
240,Senneterre,CA,2022-08-17 15:21:30,48.3835,-77.2328,297.42,45,44,2.03
241,Esmeraldas,BR,2022-08-17 15:21:31,-19.7625,-44.3139,304.21,22,10,3.01
242,Road Town,VG,2022-08-17 15:21:31,18.4167,-64.6167,303.17,79,40,0.0
243,Namibe,AO,2022-08-17 15:21:32,-15.1961,12.1522,291.38,76,28,4.77
244,Pospelikha,RU,2022-08-17 15:21:32,51.95,81.7667,283.71,77,38,3.06
245,Caravelas,BR,2022-08-17 15:21:33,-17.7125,-39.2481,298.18,63,29,4.88
246,Dikson,RU,2022-08-17 15:21:34,73.5069,80.5464,277.62,90,99,7.9
247,Umm Lajj,SA,2022-08-17 15:21:34,25.0213,37.2685,304.55,69,10,3.03
248,Salalah,OM,2022-08-17 15:21:20,17.0151,54.0924,298.2,94,100,2.06
249,Ponnani,IN,2022-08-17 15:21:36,10.767,75.9252,298.77,91,93,2.79
250,Husavik,IS,2022-08-17 15:21:36,66.0449,-17.3389,286.66,48,100,7.16
251,Sault Sainte Marie,CA,2022-08-17 15:21:37,46.5168,-84.3333,297.31,61,0,3.09
252,Wamba,NG,2022-08-17 15:21:37,8.9333,8.6,300.22,74,70,2.57
253,Neftegorsk,RU,2022-08-17 15:21:38,52.802,51.166,299.06,29,100,3.56
254,Ismailia,EG,2022-08-17 15:21:39,30.6043,32.2723,305.19,43,0,5.14
255,Kumluca,TR,2022-08-17 15:21:40,36.3703,30.2869,304.27,56,0,3.0
256,Sorland,NO,2022-08-17 15:21:41,67.667,12.6934,283.07,71,100,6.41
